homelat,homelon,homecontinent,n
-15.6458,-56.1322,South America,6
-1.1522,-48.1314,South America,1
-6.39471,-48.5592,South America,1
-3.7657,-49.6773,South America,1
-7.90072,-34.8984,South America,1
-7.60398,-35.2227,South America,2
-8.41519,-37.0577,South America,3
-8.3313,-36.4258,South America,1
-9.16919,-36.6857,South America,1
-7.79695,-35.5784,South America,1
-8.28218,-35.0253,South America,13
-8.48668,-36.2402,South America,1
-8.02351,-34.9782,South America,24
-8.73423,-36.6306,South America,1
-7.84566,-35.2514,South America,2
-8.28455,-35.9699,South America,6
-8.67509,-35.7024,South America,2
-3.8396,-32.4107,South America,14
-7.93918,-35.9113,South America,1
-8.88243,-36.4966,South America,1
-7.5606,-34.9959,South America,3
-7.82881,-34.9013,South America,2
-8.39303,-35.0609,South America,1
-7.64505,-40.1476,South America,1
-8.11298,-35.015,South America,51
-7.86565,-35.5787,South America,1
-7.84383,-35.3108,South America,2
-7.8726,-35.4402,South America,1
-7.55564,-35.4425,South America,1
-8.10871,-35.0835,South America,2
-8.01017,-34.8545,South America,44
-8.68423,-35.589,South America,3
-7.9971,-35.5813,South America,1
-7.90287,-35.1716,South America,6
-7.93401,-34.8684,South America,34
-9.38866,-40.5027,South America,4
-8.13982,-35.3967,South America,1
-8.04666,-34.8771,South America,413
-8.07373,-39.1247,South America,4
-8.33763,-36.2869,South America,1
-8.00684,-35.0124,South America,21
-7.98178,-38.289,South America,1
-7.50484,-35.3119,South America,1
-8.12819,-35.2976,South America,3
-25.3188,-49.3037,South America,4
-23.4153,-51.4259,South America,8
-23.9315,-52.5021,South America,7
-25.5859,-49.4047,South America,4
-24.4168,-53.5213,South America,5
-25.5804,-49.6291,South America,5
-23.1078,-50.3704,South America,2
-23.2766,-51.2798,South America,4
-24.5893,-52.7976,South America,1
-25.3044,-49.0551,South America,1
-25.4525,-49.529,South America,13
-25.3687,-49.4501,South America,1
-24.0463,-52.378,South America,18
-24.9573,-53.459,South America,57
-24.7891,-50.0108,South America,2
-25.8515,-52.5173,South America,1
-23.6599,-52.6054,South America,13
-25.2925,-49.2262,South America,7
-25.6788,-49.535,South America,1
-23.1829,-50.6498,South America,1
-25.4195,-49.2646,South America,251
-24.0077,-51.3227,South America,1
-25.6624,-49.3073,South America,5
-25.5427,-54.5827,South America,27
-26.0817,-53.0535,South America,1
-24.1835,-53.0248,South America,2
-24.085,-54.2573,South America,2
-25.0968,-52.8755,South America,3
-25.3902,-51.4623,South America,1
-23.8478,-50.1932,South America,1
-25.1193,-53.0072,South America,1
-24.4253,-52.1012,South America,1
-24.2485,-51.6754,South America,1
-25.7671,-49.7168,South America,2
-23.0818,-50.7511,South America,1
-23.304,-51.1691,South America,61
-25.777,-49.3282,South America,2
-24.5144,-51.6658,South America,1
-24.557,-54.0571,South America,2
-23.4205,-51.9333,South America,27
-26.355,-52.5532,South America,2
-23.7058,-51.6404,South America,1
-25.8237,-48.549,South America,2
-25.2977,-54.0943,South America,4
